ASV_ID	Bomok1	Bomok2	Bomok3	Bomok4	Gangjeong1	Gangjeong2	Gangjeong3	Gangjeong4
ASV531	0	0	0	0	22	0	0	0
ASV532	0	0	0	0	22	0	0	0
ASV533	0	0	0	0	22	0	0	0
ASV534	0	0	0	0	0	22	0	0
ASV535	0	0	0	0	0	22	0	0
ASV536	0	0	0	0	0	22	0	0
ASV537	0	0	0	0	0	0	11	11
ASV538	0	0	0	0	0	0	11	11
ASV539	0	0	0	0	0	0	11	11
ASV540	0	0	0	0	0	0	11	11
ASV541	0	0	0	0	0	0	11	11
ASV542	7	0	0	14	0	0	0	0
ASV543	0	21	0	0	0	0	0	0
ASV544	0	21	0	0	0	0	0	0
ASV545	0	21	0	0	0	0	0	0
ASV546	0	17	0	0	0	4	0	0
ASV547	0	15	6	0	0	0	0	0
ASV548	0	12	9	0	0	0	0	0
ASV549	0	12	0	0	9	0	0	0
ASV550	0	7	0	0	0	0	7	7
ASV551	0	0	16	0	5	0	0	0
ASV552	0	0	0	21	0	0	0	0
ASV553	0	0	0	21	0	0	0	0
ASV554	0	0	0	21	0	0	0	0
ASV555	0	0	0	21	0	0	0	0
ASV556	0	0	0	0	21	0	0	0
ASV557	0	0	0	0	21	0	0	0
ASV558	0	0	0	0	0	21	0	0
ASV559	0	0	0	0	0	3	9	9
ASV560	20	0	0	0	0	0	0	0
ASV561	20	0	0	0	0	0	0	0
ASV562	5	2	0	8	0	5	0	0
ASV563	0	20	0	0	0	0	0	0
ASV564	0	14	6	0	0	0	0	0
ASV565	0	4	0	4	0	12	0	0
ASV566	0	0	20	0	0	0	0	0
ASV567	0	0	20	0	0	0	0	0
ASV568	0	0	0	20	0	0	0	0
ASV569	0	0	0	20	0	0	0	0
ASV570	0	0	0	20	0	0	0	0
ASV571	0	0	0	20	0	0	0	0
ASV572	0	0	0	0	20	0	0	0
ASV573	0	0	0	0	16	4	0	0
ASV574	0	0	0	0	11	9	0	0
ASV575	0	0	0	0	0	20	0	0
ASV576	0	0	0	0	0	20	0	0
ASV577	0	0	0	0	0	20	0	0
ASV578	0	0	0	0	0	20	0	0
ASV579	0	0	0	0	0	14	3	3
ASV580	0	0	0	0	0	0	10	10
ASV581	0	0	0	0	0	0	10	10
ASV582	0	0	0	0	0	0	10	10
ASV583	0	0	0	0	0	0	10	10
ASV584	0	0	0	0	0	0	10	10
ASV585	0	0	0	0	0	0	10	10
ASV586	0	0	0	0	0	0	10	10
ASV587	0	0	0	0	0	0	10	10
ASV588	14	0	0	0	5	0	0	0
ASV589	6	3	0	0	2	8	0	0
ASV590	0	19	0	0	0	0	0	0
ASV591	0	19	0	0	0	0	0	0
ASV592	0	19	0	0	0	0	0	0
ASV593	0	9	0	4	0	6	0	0
ASV594	0	4	0	0	7	0	4	4
ASV595	0	3	0	0	0	16	0	0
ASV596	0	0	19	0	0	0	0	0
ASV597	0	0	19	0	0	0	0	0
ASV598	0	0	6	13	0	0	0	0
ASV599	0	0	0	19	0	0	0	0
ASV600	0	0	0	19	0	0	0	0
ASV601	0	0	0	19	0	0	0	0
ASV602	0	0	0	19	0	0	0	0
ASV603	0	0	0	19	0	0	0	0
ASV604	0	0	0	19	0	0	0	0
ASV605	0	0	0	19	0	0	0	0
ASV606	0	0	0	0	19	0	0	0
ASV607	0	0	0	0	19	0	0	0
ASV608	0	0	0	0	19	0	0	0
ASV609	0	0	0	0	0	19	0	0
ASV610	18	0	0	0	0	0	0	0
ASV611	18	0	0	0	0	0	0	0
ASV612	0	18	0	0	0	0	0	0
ASV613	0	18	0	0	0	0	0	0
ASV614	0	14	0	0	0	4	0	0
ASV615	0	14	0	4	0	0	0	0
ASV616	0	12	6	0	0	0	0	0
ASV617	0	5	3	0	0	0	5	5
ASV618	0	2	0	6	0	0	5	5
ASV619	0	0	18	0	0	0	0	0
ASV620	0	0	18	0	0	0	0	0
ASV621	0	0	18	0	0	0	0	0
ASV622	0	0	18	0	0	0	0	0
ASV623	0	0	18	0	0	0	0	0
ASV624	0	0	18	0	0	0	0	0
ASV625	0	0	0	18	0	0	0	0
ASV626	0	0	0	0	0	0	9	9
ASV627	0	0	0	0	0	0	9	9
ASV628	0	0	0	0	0	0	9	9
ASV629	17	0	0	0	0	0	0	0
ASV630	17	0	0	0	0	0	0	0
ASV631	17	0	0	0	0	0	0	0
ASV632	17	0	0	0	0	0	0	0
ASV633	15	2	0	0	0	0	0	0
ASV634	11	6	0	0	0	0	0	0
ASV635	5	0	0	0	12	0	0	0
ASV636	0	17	0	0	0	0	0	0
ASV637	0	17	0	0	0	0	0	0
ASV638	0	17	0	0	0	0	0	0
ASV639	0	17	0	0	0	0	0	0
ASV640	0	4	0	0	5	0	4	4
ASV641	0	0	17	0	0	0	0	0
ASV642	0	0	17	0	0	0	0	0
ASV643	0	0	0	17	0	0	0	0
ASV644	0	0	0	17	0	0	0	0
ASV645	0	0	0	17	0	0	0	0
ASV646	0	0	0	17	0	0	0	0
ASV647	0	0	0	17	0	0	0	0
ASV648	0	0	0	17	0	0	0	0
ASV649	0	0	0	0	17	0	0	0
ASV650	0	0	0	0	17	0	0	0
ASV651	0	0	0	0	17	0	0	0
